Date : 2026-08-27 16:44:22
Directory : c:\Users\25580\Desktop\handfree
Total : 434 files,  57720 codes, 5605 comments, 10830 blanks, all 74155 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |        326 |     33,043 |      5,310 |      6,700 |     45,053 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\theme\partials\libs.html                                                                     | HTML             |          2 |          0 |          1 |          3 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\usage.md                                                                                     | Markdown         |        115 |          0 |         43 |        158 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\flowsettings.py                                                                                   | Python           |        337 |         31 |         37 |        405 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\launch.sh                                                                                         | Shell Script     |         18 |          3 |          3 |         24 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\README.md                                                                           | Markdown         |         82 |          0 |         48 |        130 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\kotaemon\__init__.py                                                                | Python           |         16 |          1 |          7 |         24 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\kotaemon\agents\__init__.py                                                         | Python           |         29 |          3 |          2 |         34 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\kotaemon\agents\base.py                                                             | Python           |         45 |          3 |         10 |         58 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\kotaemon\agents\io\__init__.py                                                      | Python           |          2 |          0 |          2 |          4 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\kotaemon\agents\io\base.py                                                          | Python           |         82 |        140 |         37 |        259 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\kotaemon\agents\langchain_based.py                                                  | Python           |         59 |          5 |         16 |         80 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\kotaemon\agents\react\__init__.py                                                   | Python           |          2 |          0 |          2 |          4 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\kotaemon\agents\react\agent.py                                                      | Python           |        267 |         64 |         31 |        362 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\kotaemon\agents\react\prompt.py                                                     | Python           |         25 |          1 |          3 |         29 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\kotaemon\agents\rewoo\__init__.py                                                   | Python           |          2 |          0 |          2 |          4 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\kotaemon\agents\rewoo\agent.py                                                      | Python           |        291 |         63 |         31 |        385 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\kotaemon\agents\rewoo\planner.py                                                    | Python           |         84 |         10 |         13 |        107 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\kotaemon\agents\rewoo\prompt.py                                                     | Python           |        111 |          1 |          8 |        120 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\kotaemon\agents\rewoo\solver.py                                                     | Python           |         86 |          3 |         11 |        100 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\kotaemon\agents\tools\__init__.py                                                   | Python           |         25 |          0 |          2 |         27 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\kotaemon\agents\tools\base.py                                                       | Python           |         91 |         30 |         19 |        140 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\kotaemon\agents\tools\google.py                                                     | Python           |         44 |          0 |         14 |         58 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\kotaemon\agents\tools\llm.py                                                        | Python           |         29 |          0 |          9 |         38 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\kotaemon\agents\tools\mcp.py                                                        | Python           |        240 |         83 |         58 |        381 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\kotaemon\agents\tools\wikipedia.py                                                  | Python           |         44 |          8 |         15 |         67 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\kotaemon\agents\utils.py                                                            | Python           |          8 |         10 |          5 |         23 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\kotaemon\base\__init__.py                                                           | Python           |         29 |          0 |          2 |         31 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\kotaemon\base\component.py                                                          | Python           |         37 |         12 |         18 |         67 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\kotaemon\base\schema.py                                                             | Python           |         87 |         34 |         36 |        157 |
