"filename", "language", "Python", "Markdown", "PostCSS", "pip requirements", "JSON", "YAML", "Shell Script", "Batch", "Docker", "HTML", "JavaScript", "XML", "Ini", "comment", "blank", "total"
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\app.py", "Python", 209, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 58, 325
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\assets\__init__.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\assets\css\main.css", "PostCSS", 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 80, 459
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\assets\icons\dark_mode.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 1, 2, 14
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\assets\icons\delete.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\assets\icons\expand.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\assets\icons\new.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\assets\icons\rename.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\assets\icons\sidebar.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\assets\img\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\assets\js\main.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 218, 0, 0, 32, 37, 287
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\assets\js\pdf_viewer.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 152, 0, 0, 12, 23, 187
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\assets\js\svg-pan-zoom.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 4
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\assets\md\about.md", "Markdown", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\assets\md\changelogs.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\assets\md\usage.md", "Markdown", 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 142
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\assets\theme.py", "Python", 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 11, 192
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\components.py", "Python", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 43, 187
